Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Honeywell Technology Solutions,Defence & Aerospace ,30,3.9,"Job Security, Company Culture",Promotions / Appraisal,13000,126000,90,3,214
Torrent Power,Power ,28,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",13000,63000,87,14,165
Sigma Electric Manufacturing Corporation,Industrial Machinery ,42,4.0,"Company Culture, Skill Development / Learning",Promotions / Appraisal,13000,41000,49,7,220
DIVI'S Laboratories,Healthcare ,34,3.9,Job Security,"Work Satisfaction, Promotions / Appraisal, Company Culture",12000,58000,56,1,179
Credit Suisse,Financial Services ,168,4.2,"Work Life Balance, Company Culture, Salary & Benefits",Job Security,12000,159000,125,49,177
Arvind Group,Fashion & Textile ,93,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,12000,6000,41,37,298
Saint-Gobain,Building Material ,359,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,12000,83000,121,45,258
CG Power and Industrial Solutions,Electrical Equipment ,87,3.9,Job Security,Promotions / Appraisal,12000,62000,50,41,224
FactSet,Financial Services ,46,4.0,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",12000,92000,123,40,208
First American Corporation,IT Services & Consulting ,135,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",12000,8000,57,33,160
BNP Paribas,Financial Services ,176,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,12000,124000,96,16,188
Aon,Financial Services ,84,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",12000,56000,39,19,205
Emami,Beauty & Personal Care ,50,4.0,"Job Security, Work Life Balance",Promotions / Appraisal,12000,49000,57,13,132
Bata,Fashion & Textile ,93,3.9,Skill Development / Learning,Promotions / Appraisal,12000,38000,46,1,119
Tesco,Retail ,105,3.9,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",11000,82000,62,46,194
