Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Genesys International Corporation,IT Services & Consulting ,29,3.9,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",476,28000,15,14,52
HBL Power Systems,Electrical Equipment ,47,4.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",475,2000,26,9,59
3M,Electronics Manufacturing ,37,4.2,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,475,28000,15,40,63
Y-Axis Overseas Careers,Other ,25,3.5,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture",472,13000,14,7,295
Visteon,Auto Components ,24,3.9,Skill Development / Learning,Work Life Balance,472,41000,28,159,49
Bharat Serums and Vaccines,Pharma ,53,3.9,Skill Development / Learning,Promotions / Appraisal,471,2000,18,10,65
Hilti,Industrial Machinery ,83,3.8,Company Culture,Promotions / Appraisal,471,27000,37,58,87
Clarivate,Analytics & KPO ,8,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,471,44000,47,29,53
Forbes Marshall,Industrial Machinery ,99,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,468,25000,25,27,55
Avalon Technologies,Electronics Manufacturing ,22,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Company Culture",465,29000,19,18,47
Keventer,FMCG ,38,4.0,Work Life Balance,Promotions / Appraisal,462,2000,16,5,63
Yokogawa,Auto Components ,109,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",457,35000,25,30,83
Medtronic,Medical Equipment ,45,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,457,36000,45,256,69
JK Tech,IT Services & Consulting ,30,3.9,Work Life Balance,Promotions / Appraisal,456,38000,20,61,32
Carborundum Universal,Metals & Mining ,70,4.0,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",451,22000,16,5,62
Casagrand,Real Estate ,20,4.0,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal,451,24000,31,9,37
CDK Global,Software Product ,52,3.6,Work Life Balance,"Job Security, Promotions / Appraisal",449,36000,25,4,74
Nomura Holdings,Investment Banking / Venture Capital / Private Equity ,15,3.9,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,449,58000,44,140,96
Schindler Group,Industrial Machinery ,27,3.8,Skill Development / Learning,"Promotions / Appraisal, Job Security",446,22000,18,5,81
Rockwell Automation,Industrial Automation ,121,4.1,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,445,4000,51,28,78
BSH Home Appliances Group,Consumer Electronics & Appliances ,57,4.1,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,444,16000,15,2,11
Khazana Jewellery,Jewellery ,35,3.9,Skill Development / Learning,Promotions / Appraisal,443,14000,27,14,60
Suma Soft,IT Services & Consulting ,24,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",443,27000,28,20,43
GlobalData,Analytics & KPO ,40,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",442,35000,28,16,61
NTT,IT Services & Consulting ,18,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,438,35000,34,31,64
Satya MicroCapital,Financial Services ,8,3.9,Salary & Benefits,"Work Life Balance, Work Satisfaction",438,15000,36,30,48
NecLife,Pharma ,29,3.7,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",437,21000,23,1,55
Technip Energies,Engineering & Construction ,66,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,436,28000,49,58,48
Bristlecone,IT Services & Consulting ,26,3.7,Work Life Balance,Promotions / Appraisal,435,53000,31,9,59
BharatMatrimony.com,Internet ,27,3.9,Job Security,Promotions / Appraisal,435,18000,15,7,32
Ather Energy,Automobile ,11,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,434,28000,35,15,37
Ultimate Kronos Group,IT Services & Consulting ,4,3.6,"Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security, Work Satisfaction",433,33000,34,114,57
Bridgestone,Auto Components ,28,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,432,22000,25,1,61
Pennar Industries,Engineering & Construction ,36,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",432,27000,19,17,64
ASG Eye Hospital,Healthcare ,19,3.9,Skill Development / Learning,Promotions / Appraisal,431,13000,26,104,41
Amar Ujala,Printing & Publishing ,76,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,429,18000,14,47,53
Nucleus Software Exports,Software Product ,38,3.8,Job Security,"Work Life Balance, Work Satisfaction",429,45000,21,9,79
BSCPL Infrastructure,Engineering & Construction ,52,3.7,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",428,16000,26,3,58
Cuemath,EdTech ,11,3.9,Work Life Balance,"Promotions / Appraisal, Job Security",427,17000,24,132,87
PCBL Limited,Petrochemicals ,64,3.9,"Salary & Benefits, Promotions / Appraisal",Work Life Balance,425,22000,44,5,50
Apollo Health and Lifestyle,Healthcare ,22,4.2,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,424,21000,21,2,51
Delta Electronics,Electronics Manufacturing ,32,3.9,"Job Security, Work Life Balance",Promotions / Appraisal,423,28000,35,2,44
Blackberrys,Fashion & Textile ,33,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,423,18000,19,17,50
Gartner,Management Consulting ,45,4.2,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,421,44000,30,846,34
Tecnimont,Engineering & Construction ,19,3.9,Job Security,"Work Life Balance, Promotions / Appraisal, Company Culture",417,22000,14,38,62
Suraksha Diagnostic,Healthcare ,32,3.8,Skill Development / Learning,Promotions / Appraisal,417,14000,29,25,46
NJ India Invest,Financial Services ,30,3.8,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,415,11000,36,284,69
Hinduja Housing Finance,NBFC ,9,4.0,Job Security,Promotions / Appraisal,415,17000,20,5,31
CJ Darcl Logistics Limited,Logistics ,38,4.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,412,14000,21,7,46
RuralShores,BPO ,16,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,411,11000,10,2,64
Riya Travel,Travel & Tourism ,44,3.8,Skill Development / Learning,Promotions / Appraisal,411,2000,8,6,40
EdgeVerve Systems,Software Product ,10,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits",411,44000,40,40,77
Hamilton Housewares,Consumer Electronics & Appliances ,52,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,410,2000,23,17,33
IRB Infrastructure,Engineering & Construction ,26,4.2,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,410,12000,10,23,59
CtrlS,IT Services & Consulting ,17,3.6,Salary & Benefits,"Company Culture, Work Life Balance, Work Satisfaction",409,26000,32,14,90
Continental,Auto Components ,153,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,406,33000,35,144,53
Capco Technologies,IT Services & Consulting ,26,3.7,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction",406,36000,46,109,52
RAK Ceramics,Building Material ,35,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,402,16000,23,2,54
Marelli,Auto Components ,105,3.9,Work Life Balance,Promotions / Appraisal,402,25000,25,5,73
Efs Facilities Services,Facility Management Services ,18,3.9,"Skill Development / Learning, Company Culture",Promotions / Appraisal,395,11000,16,6,61
Satyam Auto Components,Auto Components ,23,4.0,Job Security,Promotions / Appraisal,394,23000,20,1,44
Dr. Reddy's Foundation,Non-Profit ,28,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal,391,15000,39,7,81
Leighton Contractors,Engineering & Construction ,26,4.1,"Salary & Benefits, Company Culture, Skill Development / Learning",Job Security,390,1000,8,4,62
IDBI Intech Limited,IT Services & Consulting ,24,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",389,25000,23,16,51
National Payments Corporation of India,FinTech ,14,3.8,"Job Security, Skill Development / Learning",Promotions / Appraisal,389,3000,35,55,40
Carrier,Consumer Electronics & Appliances ,109,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,387,29000,31,108,45
British Council,Education & Training ,90,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",385,23000,15,2,55
Wellness Forever Medicare,Retail ,16,3.9,"Skill Development / Learning, Company Culture",Promotions / Appraisal,385,15000,29,1,38
Torry Harris Integration Solutions,IT Services & Consulting ,26,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,385,45000,36,38,51
Jiva Ayurvedic Pharmacy,Healthcare ,32,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",385,12000,18,38,52
Inspirisys Solution,IT Services & Consulting ,33,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,384,32000,28,21,27
Navin Fluorine International,Chemicals ,57,4.1,"Job Security, Work Life Balance",Promotions / Appraisal,381,23000,21,5,47
Emerson Electric Co.,IT Services & Consulting ,134,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,381,31000,36,243,44
Škoda Auto Volkswagen,Automobile ,23,4.3,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,380,25000,15,5,47
Paramount Health Services Tpa,Internet ,22,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",378,19000,21,51,37
RealPage,IT Services & Consulting ,26,3.8,"Company Culture, Work Life Balance",Promotions / Appraisal,378,32000,30,188,53
Global Autotech,Auto Components ,19,4.0,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",377,2000,42,5,46
Venky's,FMCG ,48,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",376,14000,14,22,31
ExxonMobil,Oil & Gas ,2024,3.8,Salary & Benefits,"Work Satisfaction, Job Security, Promotions / Appraisal",376,3000,44,27,64
Transrail Lighting,Engineering & Construction ,16,4.0,Job Security,Promotions / Appraisal,375,18000,22,3,49
Cotiviti,Analytics & KPO ,45,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,374,31000,41,16,56
Impetus Technologies,IT Services & Consulting ,33,3.7,Job Security,Work Satisfaction,371,42000,45,66,56
Lakme,Beauty & Personal Care ,44,4.2,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,371,15000,12,7,49
Alight Solutions,IT Services & Consulting ,28,4.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",370,23000,14,3,55
ThoughtWorks,IT Services & Consulting ,31,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,370,4000,55,2,48
Suprajit Engineering,Auto Components ,39,3.7,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",369,21000,25,9,54
TTK Healthcare,Healthcare ,96,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,368,13000,10,18,57
IDP Education Limited,EdTech ,29,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,367,22000,32,42,51
Giesecke & Devrient,IT Services & Consulting ,172,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,367,21000,12,6,68
Kokilaben Dhirubhai Ambani Hospital,Healthcare ,15,3.9,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",366,15000,16,35,35
Avery Dennison,Packaging ,29,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,366,18000,13,59,58
R.S. Infraprojects,Real Estate ,19,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,364,14000,12,1,64
Maharashtra Seamless,Building Material ,36,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",363,19000,28,2,39
Iron Mountain Inc,IT Services & Consulting ,73,3.8,"Company Culture, Work Life Balance",Promotions / Appraisal,362,27000,15,1,50
Reliance Life Sciences,Clinical Research ,23,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",362,22000,12,6,59
Krsnaa Diagnostics,Healthcare ,14,4.0,Skill Development / Learning,Promotions / Appraisal,361,11000,15,24,35
Capital Foods,Food Processing ,28,4.0,Salary & Benefits,"Promotions / Appraisal, Job Security",360,13000,23,2,57
Pinnacle Infotech,IT Services & Consulting ,32,3.6,"Job Security, Skill Development / Learning","Company Culture, Salary & Benefits, Work Life Balance",358,22000,35,12,60
Varuna Integrated Logistics,Logistics ,28,3.8,Job Security,Promotions / Appraisal,357,15000,28,36,41
Electrosteel Casting,Building Material ,69,3.9,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",356,18000,26,3,42
Dusters Total Solutions Services,Facility Management Services ,30,4.0,Work Life Balance,Promotions / Appraisal,356,14000,9,1,44
Supertech,Real Estate ,36,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",356,19000,14,5,37
Wolters Kluwer,IT Services & Consulting ,188,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,356,35000,47,78,58
National Bulk Handling Corporation,Agriculture ,21,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,355,12000,12,23,43
Rieter,Industrial Machinery ,29,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,355,21000,12,6,52
Safari Industries India,Fashion & Textile ,50,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,351,15000,14,5,33
Commonwealth Bank of Australia,Banking ,113,3.8,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal,351,38000,46,8,51
B. Braun Medical,Healthcare ,185,4.0,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,350,15000,18,1,65
RPG Life Sciences,Pharma ,31,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,349,14000,9,6,51
Worldline Global Services,IT Services & Consulting ,50,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,349,32000,23,1,46
SABIC,Chemicals ,48,4.2,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,349,15000,21,12,56
Chemplast Sanmar,Chemicals ,57,3.8,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",347,19000,25,12,34
Honda Logistics,Logistics ,19,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,347,14000,18,5,48
Sanmina Sci,Electronics Manufacturing ,44,4.2,"Work Satisfaction, Skill Development / Learning, Job Security",Promotions / Appraisal,345,23000,19,19,54
Siemens Healthineers,Healthcare ,128,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,342,3000,30,4,58
Paharpur Cooling Towers,Industrial Machinery ,76,4.0,"Job Security, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",342,16000,10,6,30
Labournet Services,Non-Profit ,18,3.9,Work Life Balance,"Job Security, Promotions / Appraisal",342,11000,18,12,52
Meghmani Organics,Chemicals ,38,4.0,"Job Security, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",341,2000,32,1,33
Evelyn Learning Systems,EdTech ,11,3.8,Company Culture,"Promotions / Appraisal, Salary & Benefits, Job Security",338,1000,37,1,92
Aker Solutions,Engineering & Construction ,183,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,338,24000,22,1,45
National Stock Exchange of India,Financial Services ,32,3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",337,32000,22,1,36
Ralson India,Auto Components ,50,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",337,16000,22,3,33
Novac Technology Solutions,Software Product ,18,4.0,"Job Security, Work Life Balance, Company Culture",Salary & Benefits,337,27000,34,88,43
Ascent Consulting Services,Software Product ,22,3.8,Skill Development / Learning,Promotions / Appraisal,336,17000,18,13,21
Keysight Technologies,Electronics Manufacturing ,10,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,336,23000,17,19,53
Allcargo Logistics,Logistics ,31,3.9,"Job Security, Work Life Balance",Promotions / Appraisal,334,18000,11,1,46
Allcargo Logistics,Logistics ,31,3.9,"Job Security, Work Life Balance",Promotions / Appraisal,334,18000,11,1,46
Numeric UPS,Consumer Electronics & Appliances ,40,4.0,Work Life Balance,Promotions / Appraisal,333,829,6,32,4
Essar Group,Engineering & Construction ,55,4.0,"Work Life Balance, Job Security",Promotions / Appraisal,333,17000,19,8,47
Sleek International,Furniture & Furnishing ,31,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",333,13000,20,1,45
Axa XL,Insurance ,38,3.7,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",333,28000,23,18,62
Hettich,Furniture & Furnishing ,136,3.8,Job Security,"Promotions / Appraisal, Company Culture, Skill Development / Learning",333,2000,18,8,39
Scaler Academy,EdTech ,5,3.9,"Salary & Benefits, Work Life Balance, Company Culture",Job Security,332,16000,41,12,88
Ind-Swift Laboratories,Pharma ,29,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",332,18000,11,5,58
Galaxy Surfactants,Chemicals ,44,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,331,15000,17,4,62
Ventura Securities,Financial Services ,30,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,331,14000,23,8,31
Indorama,Fashion & Textile ,49,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,331,15000,14,9,39
Insolutions Global,FinTech ,20,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",330,22000,14,3,23
Eurokids,Education & Training ,23,4.0,"Skill Development / Learning, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal",330,13000,12,2,38
Balmer Lawrie,Packaging ,157,4.0,Job Security,Promotions / Appraisal,329,17000,18,13,40
IIC Technologies,IT Services & Consulting ,30,3.9,Job Security,"Salary & Benefits, Promotions / Appraisal",328,13000,10,18,31
Accion Labs,IT Services & Consulting ,13,3.7,Work Life Balance,Promotions / Appraisal,327,41000,29,180,45
Kirloskar Ferrous Industries,Iron & Steel ,33,4.0,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",326,13000,14,2,33
Anthem Biosciences,Pharma ,18,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",Company Culture,325,24000,20,9,33
Mrs Bector's Food Specialities,FMCG ,46,4.1,Skill Development / Learning,Promotions / Appraisal,325,12000,15,2,35
Flowserve,Industrial Machinery ,27,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,324,27000,18,28,54
Sheela Foam,Furniture & Furnishing ,53,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,323,12000,18,3,35
Dana India,Auto Components ,120,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,323,16000,15,9,61
Rakuten,IT Services & Consulting ,27,3.7,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,323,39000,46,90,56
India Glycols,Chemicals ,41,4.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",321,17000,13,1,35
Tredence,IT Services & Consulting ,11,3.7,Skill Development / Learning,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",321,32000,62,149,45
Groupm Media,Marketing & Advertising ,21,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",320,3000,22,24,37
Tetra Pak,Packaging ,37,4.2,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal,320,2000,22,28,66
Toshiba JSW Power Systems,Industrial Machinery ,11,4.3,"Salary & Benefits, Work Life Balance, Company Culture",Job Security,319,2000,14,1,46
Cosmo Films,Packaging ,43,3.8,Job Security,Promotions / Appraisal,319,17000,22,22,51
Sapiens,IT Services & Consulting ,42,3.6,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",319,38000,33,32,68
CommScope,Telecom ,48,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,318,27000,17,31,54
Novartis Healthcare,Pharma ,28,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,316,42000,19,4,46
Novartis Healthcare,Pharma ,28,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,316,42000,19,4,46
Shivalik Small Finance Bank,Banking ,27,3.9,Work Life Balance,Promotions / Appraisal,316,14000,21,7,46
Zoomcar,Internet ,12,3.8,Work Life Balance,"Job Security, Promotions / Appraisal",316,17000,13,150,44
Exicom,Semiconductors ,30,4.0,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,315,19000,24,11,49
C-Edge Technologies,IT Services & Consulting ,18,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,315,22000,10,3,40
Buzzworks Business Services,Recruitment ,25,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,314,17000,12,42,21
Aarti Drugs,Pharma ,40,3.8,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal",313,16000,12,1,27
Aarti Drugs,Pharma ,40,3.8,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal",313,16000,12,1,27
Ceinsys Tech,IT Services & Consulting ,26,3.9,Work Life Balance,Promotions / Appraisal,313,13000,8,8,30
Mahendra NextWealth IT,IT Services & Consulting ,15,3.8,Job Security,"Salary & Benefits, Promotions / Appraisal",313,12000,7,3,19
Acko General Insurance,Insurance ,8,3.9,Company Culture,Promotions / Appraisal,313,16000,24,25,28
Epiroc,Industrial Machinery ,151,4.0,Work Life Balance,Promotions / Appraisal,312,19000,19,2,45
Citrix,Software Product ,35,3.7,"Salary & Benefits, Company Culture, Work Life Balance","Job Security, Promotions / Appraisal",311,25000,39,38,42
Supr Daily,Internet ,9,4.1,Skill Development / Learning,Job Security,311,15000,18,1,40
Fuji Electric,Industrial Machinery ,101,4.0,Job Security,"Promotions / Appraisal, Salary & Benefits",310,15000,10,1,17
Diya Systems,BPO ,22,3.5,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",307,15000,13,9,56
Jupiter Hospital,Healthcare ,17,4.1,"Skill Development / Learning, Job Security",Promotions / Appraisal,305,13000,14,2,25
Hajee A P Bava Construction,Engineering & Construction ,74,3.9,Skill Development / Learning,Salary & Benefits,305,1000,4,6,27
Sri Krishna Pharmaceuticals,Pharma ,50,4.1,"Work Life Balance, Job Security",Promotions / Appraisal,303,17000,7,1,37
Eversendai,Engineering & Construction ,40,3.9,Job Security,Promotions / Appraisal,303,16000,22,2,42
Eversendai,Engineering & Construction ,40,3.9,Job Security,Promotions / Appraisal,303,16000,22,2,42
Indian Immunologicals,Biotechnology ,42,4.1,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",302,16000,10,2,48
Symbiotec Pharmalab,Pharma ,30,3.8,Job Security,"Promotions / Appraisal, Company Culture",302,17000,19,6,37
National Collateral Management Services,Government ,20,4.0,Company Culture,Promotions / Appraisal,302,11000,5,3,45
Kirby Building Systems,Engineering & Construction ,26,4.0,Job Security,"Promotions / Appraisal, Skill Development / Learning",301,15000,13,7,34
SoftwareONE,Software Product ,24,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,301,3000,25,3,53
ABIS Exports,Food Processing ,39,4.0,"Skill Development / Learning, Company Culture",Promotions / Appraisal,300,13000,18,7,21
Techwave Consulting,IT Services & Consulting ,20,3.9,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,300,3000,21,53,24
Yokohama Off-Highway Tires,Auto Components ,17,3.9,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",300,16000,24,5,37
Orra Fine Jewellery,Jewellery ,136,3.9,Salary & Benefits,Work Satisfaction,300,11000,18,75,26
OnePlus,Consumer Electronics & Appliances ,11,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal,299,18000,26,5,46
Elecon Engineering,Electrical Equipment ,73,4.3,"Work Life Balance, Skill Development / Learning, Company Culture",Job Security,299,14000,10,4,35
Jubilant Ingrevia,Chemicals ,4,3.9,Job Security,Promotions / Appraisal,299,17000,27,4,20
ACG Associated Capsules,Pharma ,60,4.0,Skill Development / Learning,Promotions / Appraisal,298,13000,13,18,46
Broadcom,Semiconductors ,48,3.4,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",295,32000,17,1,41
Runwal Group,Real Estate ,46,3.9,Job Security,Promotions / Appraisal,294,19000,14,3,39
Mjunction Services,IT Services & Consulting ,23,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,294,18000,8,1,43
RapiPay,FinTech ,6,3.6,Salary & Benefits,"Promotions / Appraisal, Job Security",294,12000,17,77,22
Win Medicare,Pharma ,19,4.0,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,293,867,14,1,35
NetApp,IT Services & Consulting ,32,4.0,"Work Life Balance, Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal",293,34000,35,167,39
Kandhari Beverages,Beverage ,57,4.0,Job Security,Promotions / Appraisal,290,12000,14,7,22
SBI Mutual Fund,Financial Services ,37,3.9,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",290,16000,13,38,37
Bonfiglioli Transmissions Private Limited,Industrial Machinery ,68,3.8,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance",289,15000,20,3,38
Landis+Gyr,Electrical Equipment ,128,3.7,Work Life Balance,"Skill Development / Learning, Job Security, Promotions / Appraisal",289,26000,21,21,45
BCG,Management Consulting ,61,3.7,Salary & Benefits,Work Life Balance,289,63000,142,10,43
Apex Laboratories,Pharma ,46,4.0,"Job Security, Work Life Balance, Company Culture",Salary & Benefits,288,16000,16,2,33
Ashapura Group Of Industries,Metals & Mining ,64,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,288,16000,16,6,46
Tata BlueScope Steel,Iron & Steel ,22,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",287,13000,14,3,35
LogixHealth,IT Services & Consulting ,34,3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",287,16000,11,6,36
National Organic Chemical Industries,Chemicals ,49,4.0,"Job Security, Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",287,16000,16,1,46
Spectrum Talent Management,Recruitment ,16,3.7,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",286,16000,10,433,25
Aludecor Lamination,Architecture & Interior Design ,20,3.9,Skill Development / Learning,Promotions / Appraisal,285,14000,22,7,30
Mann And Hummel Filter,Industrial Machinery ,82,4.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",285,15000,12,6,41
Elite Elevators,Industrial Machinery ,16,3.6,Salary & Benefits,"Work Life Balance, Job Security, Company Culture",285,596,13,104,83
Piramal Swasthya,Healthcare ,17,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,285,911,8,4,38
KRBL,Food Processing ,135,4.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",284,12000,20,20,29
Vasan Eye Care Hospitals,Healthcare ,22,4.1,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,284,623,3,16,25
Vistara,Aviation ,11,3.6,Job Security,"Work Satisfaction, Promotions / Appraisal, Company Culture",284,18000,46,18,35
TIBCO Software,Software Product ,27,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,283,4000,28,58,61
Buhler,Industrial Machinery ,164,4.0,"Job Security, Work Life Balance",Promotions / Appraisal,282,15000,14,1,39
